timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
1405059256,-21.207256,38.149998,101580.0,1.2069384
1405071285,-20.795055,38.149998,101575.0,1.206879
1405092716,-20.12919,38.149998,101567.0,1.206784
1405105100,-20.795055,38.149998,101575.0,1.206879
1405116349,-22.538986,38.149998,101596.0,1.2071285
1405140507,-20.462122,38.149998,101571.0,1.2068315
1405151270,-21.957676,38.149998,101588.99,1.2070453
1405163260,-20.293015,38.149998,101569.0,1.2068077
1405186259,-20.37757,38.149998,101569.99,1.2068195
1405196558,-20.795055,38.149998,101575.0,1.206879
1405208155,-21.709297,38.149998,101586.0,1.2070097
1405233630,-20.462122,38.149998,101571.0,1.2068315
1405245339,-22.369877,38.149998,101594.0,1.2071048
1405258080,-19.54788,38.149998,101560.0,1.2067008
1405279259,-21.624743,38.149998,101585.0,1.2069979
1405289512,-21.873121,38.149998,101588.0,1.2070335
1405300668,-22.1215,38.149998,101591.0,1.2070692
1405325524,-21.043432,38.149998,101578.0,1.2069147
1405337577,-22.623539,38.149998,101597.0,1.2071404
1405349591,-21.624743,38.149998,101585.0,1.2069979
1405373540,-21.709297,38.14,101586.0,1.2070097
1405385189,-21.043432,38.14,101578.0,1.2069147
1405395256,-21.207256,38.14,101580.0,1.2069384
1405418701,-21.788567,38.149998,101587.0,1.2070216
1405429708,-22.871918,38.149998,101600.0,1.2071761
1405442940,-21.291811,38.149998,101581.0,1.2069503
1405466560,-20.541391,38.129997,101572.0,1.2068434
1405477601,-19.880812,38.129997,101563.99,1.2067482
1405490012,-20.462122,38.129997,101571.0,1.2068315
1405512551,-20.7105,38.14,101574.0,1.2068671
1405523583,-20.795055,38.14,101575.0,1.206879
1405538040,-20.795055,38.14,101575.0,1.206879
1405564927,-20.95888,38.14,101576.99,1.2069027
1405577341,-20.37757,38.14,101569.99,1.2068195
1405589557,-20.795055,38.14,101575.0,1.206879
1405637293,-20.625946,38.129997,101573.0,1.2068553
1405662719,-21.455635,38.129997,101582.99,1.206974
1405674273,-20.95888,38.129997,101576.99,1.2069027
1405686157,-20.044636,38.129997,101566.0,1.2067721
1405708262,-20.293015,38.129997,101569.0,1.2068077
1405722300,-20.462122,38.129997,101571.0,1.2068315
1405735236,-21.873121,38.129997,101588.0,1.2070335
1405757986,-20.95888,38.14,101576.99,1.2069027
1405769766,-22.787363,38.14,101599.0,1.2071642
1405780262,-20.293015,38.14,101569.0,1.2068077
1405806464,-22.787363,38.12,101599.0,1.2071642
1405818262,-20.541391,38.12,101572.0,1.2068434
1405852260,-19.711704,38.129997,101562.0,1.2067245
1405866980,-20.462122,38.129997,101571.0,1.2068315
1405878406,-19.960081,38.129997,101565.0,1.2067602
1405902009,-21.54019,38.129997,101584.0,1.206986
1405913743,-20.625946,38.129997,101573.0,1.2068553
1405924254,-21.957676,38.129997,101588.99,1.2070453
1405948342,-22.623539,38.12,101597.0,1.2071404
1405962336,-21.043432,38.12,101578.0,1.2069147
1405974418,-22.290607,38.12,101593.0,1.2070929
1405998593,-20.795055,38.12,101575.0,1.206879
1406010260,-21.957676,38.12,101588.99,1.2070453
1406022397,-20.213745,38.12,101568.0,1.2067958
1406044261,-21.043432,38.12,101578.0,1.2069147
1406058875,-21.957676,38.12,101588.99,1.2070453
1406069283,-22.951187,38.12,101600.99,1.2071879
1406093258,-20.37757,38.129997,101569.99,1.2068195
1406106875,-21.957676,38.129997,101588.99,1.2070453
1406118941,-20.7105,38.129997,101574.0,1.2068671
1406141269,-20.95888,38.12,101576.99,1.2069027
1406154910,-21.455635,38.12,101582.99,1.206974
1406165259,-20.12919,38.12,101567.0,1.206784
1406191320,-20.37757,38.12,101569.99,1.2068195
1406202885,-21.043432,38.12,101578.0,1.2069147
1406215189,-21.455635,38.12,101582.99,1.206974
1406237259,-21.873121,38.11,101588.0,1.2070335
1406251114,-19.62715,38.11,101561.0,1.2067127
1406261272,-19.62715,38.11,101561.0,1.2067127
1406285259,-19.711704,38.11,101562.0,1.2067245
1406298892,-20.874325,38.11,101575.99,1.2068908
1406309270,-22.206053,38.11,101592.0,1.207081
1406331271,-20.12919,38.11,101567.0,1.206784
1406341259,-20.625946,38.11,101573.0,1.2068553
1406354890,-20.625946,38.11,101573.0,1.2068553
1406378892,-19.796259,38.11,101563.0,1.2067364
1406390831,-20.37757,38.11,101569.99,1.2068195
1406401270,-21.709297,38.11,101586.0,1.2070097
1406425260,-20.293015,38.11,101569.0,1.2068077
1406476287,-20.37757,38.11,101569.99,1.2068195
1406491777,-20.795055,38.11,101575.0,1.206879
1406502253,-21.957676,38.11,101588.99,1.2070453
1406525261,-21.455635,38.11,101582.99,1.206974
1406535836,-20.625946,38.11,101573.0,1.2068553
1406546258,-19.62715,38.11,101561.0,1.2067127
1406570261,-22.206053,38.11,101592.0,1.207081
1406582259,-20.462122,38.11,101571.0,1.2068315
1406596179,-21.709297,38.11,101586.0,1.2070097
1406619992,-21.043432,38.11,101578.0,1.2069147
1406631717,-20.7105,38.11,101574.0,1.2068671
1406666281,-20.874325,38.1,101575.99,1.2068908
1406679709,-19.62715,38.1,101561.0,1.2067127
1406690257,-19.04584,38.1,101554.0,1.2066295
1406713259,-21.122702,38.11,101579.0,1.2069266
1406724973,-21.376366,38.11,101582.0,1.2069622
1406736286,-20.37757,38.11,101569.99,1.2068195
1406759725,-21.957676,38.11,101588.99,1.2070453
1406771615,-20.874325,38.11,101575.99,1.2068908
1406783794,-20.874325,38.11,101575.99,1.2068908
1406806256,-21.122702,38.1,101579.0,1.2069266
1406817259,-19.37877,38.1,101557.99,1.206677
1406828285,-20.044636,38.1,101566.0,1.2067721
1406851978,-21.624743,38.1,101585.0,1.2069979
1406863686,-20.625946,38.1,101573.0,1.2068553
1406874257,-20.795055,38.1,101575.0,1.206879
1406898259,-20.7105,38.1,101574.0,1.2068671
1406911902,-21.873121,38.1,101588.0,1.2070335
1406922258,-22.1215,38.1,101591.0,1.2070692
1406946270,-20.213745,38.1,101568.0,1.2067958
1406957272,-21.788567,38.1,101587.0,1.2070216
1406968296,-21.455635,38.1,101582.99,1.206974
1406992760,-20.37757,38.1,101569.99,1.2068195
1407004388,-22.1215,38.1,101591.0,1.2070692
1407016410,-20.293015,38.1,101569.0,1.2068077
1407039253,-21.788567,38.1,101587.0,1.2070216
1407051257,-22.951187,38.1,101600.99,1.2071879
1407064509,-20.213745,38.1,101568.0,1.2067958
1407088316,-20.95888,38.09,101576.99,1.2069027
1407099258,-20.625946,38.09,101573.0,1.2068553
1407117114,-21.54019,38.09,101584.0,1.206986
1407139260,-20.7105,38.09,101574.0,1.2068671
1407150260,-21.957676,38.09,101588.99,1.2070453
1407161259,-20.874325,38.09,101575.99,1.2068908
1407184496,-20.795055,38.1,101575.0,1.206879
1407197608,-20.874325,38.1,101575.99,1.2068908
1407209259,-22.1215,38.1,101591.0,1.2070692
1407231261,-21.043432,38.1,101578.0,1.2069147
1407243261,-20.541391,38.1,101572.0,1.2068434
1407255260,-19.960081,38.1,101565.0,1.2067602
1407277298,-20.213745,38.1,101568.0,1.2067958
1407288284,-20.462122,38.1,101571.0,1.2068315
1407298271,-21.291811,38.1,101581.0,1.2069503
1407321301,-21.957676,38.1,101588.99,1.2070453
1407333280,-20.213745,38.1,101568.0,1.2067958
1407344626,-19.880812,38.1,101563.99,1.2067482
1407368525,-21.376366,38.09,101582.0,1.2069622
1407379261,-19.711704,38.09,101562.0,1.2067245
1407390272,-20.293015,38.09,101569.0,1.2068077
1407412397,-22.1215,38.09,101591.0,1.2070692
1407425306,-21.455635,38.09,101582.99,1.206974
1407437894,-21.207256,38.09,101580.0,1.2069384
1407462323,-20.37757,38.09,101569.99,1.2068195
1407473277,-22.290607,38.09,101593.0,1.2070929
1407485950,-21.873121,38.09,101588.0,1.2070335
1407509884,-20.795055,38.09,101575.0,1.206879
1407521293,-21.043432,38.09,101578.0,1.2069147
1407533624,-19.37877,38.09,101557.99,1.206677
1407557194,-21.54019,38.079998,101584.0,1.206986
1407569633,-20.541391,38.079998,101572.0,1.2068434
1407581557,-22.787363,38.079998,101599.0,1.2071642
1407607094,-20.874325,38.09,101575.99,1.2068908
1407617305,-20.795055,38.09,101575.0,1.206879
1407634003,-20.37757,38.09,101569.99,1.2068195
1407657521,-22.206053,38.079998,101592.0,1.207081
1407669586,-20.7105,38.079998,101574.0,1.2068671
1407681491,-20.37757,38.079998,101569.99,1.2068195
1407704927,-20.213745,38.079998,101568.0,1.2067958
1407715447,-21.043432,38.079998,101578.0,1.2069147
1407729317,-21.043432,38.079998,101578.0,1.2069147
1407753275,-19.960081,38.079998,101565.0,1.2067602
1407765556,-21.376366,38.079998,101582.0,1.2069622
1407777365,-20.37757,38.079998,101569.99,1.2068195
1407801183,-20.95888,38.079998,101576.99,1.2069027
1407813791,-20.462122,38.079998,101571.0,1.2068315
1407825273,-21.122702,38.079998,101579.0,1.2069266
1407845665,-22.369877,38.079998,101594.0,1.2071048
1407857503,-21.376366,38.079998,101582.0,1.2069622
1407869593,-20.37757,38.079998,101569.99,1.2068195
1407892272,-20.95888,38.079998,101576.99,1.2069027
1407905725,-19.62715,38.079998,101561.0,1.2067127
1407916283,-20.874325,38.079998,101575.99,1.2068908
1407940260,-19.796259,38.079998,101563.0,1.2067364
1407952295,-20.625946,38.079998,101573.0,1.2068553
1407990690,-21.957676,38.07,101588.99,1.2070453
1408002263,-19.711704,38.07,101562.0,1.2067245
1408012253,-21.376366,38.07,101582.0,1.2069622
1408050994,-22.1215,38.07,101591.0,1.2070692
1408062822,-19.214947,38.07,101556.0,1.2066532
1408086399,-21.043432,38.07,101578.0,1.2069147
1408098323,-20.541391,38.07,101572.0,1.2068434
1408108260,-21.207256,38.07,101580.0,1.2069384
1408134259,-20.795055,38.07,101575.0,1.206879
1408144262,-20.12919,38.07,101567.0,1.206784
1408156263,-20.95888,38.07,101576.99,1.2069027
1408180270,-22.036945,38.07,101590.0,1.2070572
1408194087,-22.454432,38.07,101594.99,1.2071166
1408204260,-20.044636,38.07,101566.0,1.2067721
1408228311,-22.787363,38.07,101599.0,1.2071642
1408242107,-19.796259,38.07,101563.0,1.2067364
1408258968,-22.036945,38.07,101590.0,1.2070572
1408292260,-21.122702,38.059998,101579.0,1.2069266
1408304272,-21.291811,38.059998,101581.0,1.2069503
1408325256,-20.044636,38.07,101566.0,1.2067721
1408337259,-20.874325,38.07,101575.99,1.2068908
1408350935,-20.462122,38.07,101571.0,1.2068315
1408375939,-21.043432,38.07,101578.0,1.2069147
1408387264,-21.207256,38.07,101580.0,1.2069384
1408399194,-19.960081,38.07,101565.0,1.2067602
1408421270,-22.623539,38.059998,101597.0,1.2071404
1408434528,-19.880812,38.059998,101563.99,1.2067482
1408445296,-21.043432,38.059998,101578.0,1.2069147
1408471517,-20.462122,38.059998,101571.0,1.2068315
1408493259,-20.795055,38.059998,101575.0,1.206879
1408517255,-20.462122,38.059998,101571.0,1.2068315
1408531201,-22.369877,38.059998,101594.0,1.2071048
