timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
1420046638,32767,32767,32767,32767,32767,32767,32767,32767
1420050639,32767,32767,32767,32767,32767,-57,32767,32767
1420054638,32767,32767,32767,32767,32767,32767,-65,-65
1420058638,32767,32767,32767,32767,32767,32767,32767,32767
1420062638,32767,32767,32767,32767,-69,32767,32767,32767
1420066638,32767,32767,32767,32767,32767,32767,32767,32767
1420070639,32767,32767,32767,32767,32767,32767,32767,32767
1420074638,32767,32767,32767,32767,-84,-58,-72,-72
1420078638,32767,32767,32767,32767,32767,32767,32767,32767
1420082638,32767,32767,32767,32767,32767,32767,32767,32767
1420086640,32767,32767,32767,32767,-84,32767,32767,32767
1420090643,32767,32767,32767,32767,32767,32767,-43,-43
1420094639,32767,32767,32767,32767,32767,32767,32767,32767
1420098638,32767,32767,32767,32767,32767,-84,32767,32767
1420102638,32767,32767,32767,32767,32767,32767,32767,32767
1420106639,32767,32767,32767,32767,-63,32767,32767,32767
1420110638,32767,-21,32767,-21,32767,32767,-55,-55
1420114639,32767,32767,32767,32767,32767,32767,32767,32767
1420118638,32767,32767,32767,32767,-64,32767,32767,32767
1420122640,32767,32767,32767,32767,32767,-84,32767,32767
1420126638,32767,32767,32767,32767,32767,32767,32767,32767
1420130639,32767,32767,32767,32767,-84,32767,32767,32767
1420134639,32767,32767,32767,32767,32767,32767,32767,32767
1420138638,32767,32767,32767,32767,32767,32767,32767,32767
1420142638,32767,32767,32767,32767,32767,32767,32767,32767
1420146639,32767,32767,32767,32767,32767,-84,-68,-68
1420150638,32767,32767,32767,32767,32767,32767,32767,32767
1420154640,32767,32767,32767,32767,-67,32767,32767,32767
1420158640,32767,32767,32767,32767,32767,32767,32767,32767
1420162638,32767,32767,32767,32767,32767,32767,-37,-37
1420166638,32767,32767,32767,32767,-70,32767,32767,32767
1420170641,32767,32767,32767,32767,32767,-84,32767,32767
1420174638,32767,32767,32767,32767,32767,32767,32767,32767
1420179440,32767,32767,32767,32767,-91,32767,32767,32767
1420183440,32767,32767,32767,32767,32767,32767,-58,-58
1420187439,32767,32767,32767,32767,32767,32767,32767,32767
1420191439,32767,32767,32767,32767,32767,-52,32767,32767
1420195439,32767,32767,32767,32767,32767,32767,32767,32767
1420199439,32767,32767,32767,32767,-52,32767,32767,32767
1420203438,32767,32767,32767,32767,32767,32767,-65,-65
1420207438,32767,32767,32767,32767,32767,32767,32767,32767
1420211444,32767,4,32767,4,-62,32767,32767,32767
1420215440,32767,32767,32767,32767,32767,32767,32767,32767
1420219438,32767,32767,32767,32767,32767,-63,32767,32767
1420223438,32767,32767,32767,32767,-70,32767,32767,32767
1420227441,32767,32767,-41,32767,32767,32767,32767,32767
1420231438,32767,32767,32767,32767,32767,32767,32767,32767
1420235441,32767,32767,32767,32767,32767,32767,32767,32767
1420239438,32767,32767,32767,32767,32767,32767,-60,-60
1420243438,32767,32767,32767,32767,32767,-82,32767,32767
1420247438,32767,32767,32767,32767,-67,32767,32767,32767
1420251439,32767,32767,32767,32767,32767,32767,32767,32767
1420255439,32767,32767,32767,32767,32767,32767,-48,-48
1420259438,32767,32767,32767,32767,-70,32767,32767,32767
1420263440,32767,32767,32767,32767,32767,-62,32767,32767
1420267441,32767,32767,32767,32767,32767,32767,32767,32767
1420271441,32767,32767,32767,32767,-82,32767,32767,32767
1420275439,32767,32767,32767,32767,32767,32767,-63,-63
1420279438,32767,32767,32767,32767,32767,32767,32767,32767
1420283438,32767,32767,32767,32767,32767,32767,32767,32767
1420287439,32767,32767,32767,32767,32767,-82,32767,32767
1420291438,32767,32767,32767,32767,32767,32767,32767,32767
1420295438,32767,32767,32767,32767,-69,32767,-77,-77
1420299438,32767,32767,32767,32767,32767,32767,32767,32767
1420303438,32767,32767,32767,32767,32767,32767,32767,32767
1420307438,32767,32767,32767,32767,-67,32767,32767,32767
1420311438,32767,32767,32767,32767,32767,-82,32767,32767
1420315438,32767,-3,32767,-3,32767,32767,32767,32767
1420319438,32767,32767,32767,32767,32767,32767,32767,32767
1420323438,32767,32767,32767,32767,-69,32767,32767,32767
1420327438,32767,32767,32767,32767,32767,32767,-49,-49
1420331451,32767,32767,32767,32767,32767,32767,32767,32767
1420335438,32767,32767,32767,32767,32767,-61,32767,32767
1420339441,32767,32767,32767,32767,32767,32767,32767,32767
1420343438,32767,32767,32767,32767,32767,32767,32767,32767
1420347438,32767,32767,32767,32767,-82,32767,-58,-58
1420351438,32767,32767,32767,32767,32767,32767,32767,32767
1420355438,32767,32767,32767,32767,32767,32767,32767,32767
1420359438,32767,32767,32767,32767,-70,-61,32767,32767
1420363438,32767,32767,32767,32767,32767,32767,32767,32767
1420367438,32767,32767,32767,32767,32767,32767,-68,-68
1420371438,32767,32767,32767,32767,-67,32767,32767,32767
1420375438,32767,32767,32767,32767,32767,32767,32767,32767
1420379438,32767,32767,32767,32767,32767,32767,32767,32767
1420383439,32767,32767,32767,32767,32767,-63,-42,-42
1420387442,32767,32767,32767,32767,32767,32767,32767,32767
1420391438,32767,32767,32767,32767,32767,32767,32767,32767
1420395438,32767,32767,32767,32767,-82,32767,32767,32767
1420399439,32767,32767,32767,32767,32767,32767,32767,32767
1420403438,32767,32767,32767,32767,32767,32767,32767,32767
1420407438,32767,32767,32767,32767,-69,-60,32767,32767
1420411439,32767,32767,32767,32767,32767,32767,32767,32767
1420415441,32767,32767,32767,32767,32767,32767,32767,32767
1420419438,32767,-2,32767,-2,-82,32767,32767,32767
1420423439,32767,32767,32767,32767,32767,32767,-65,-65
1420427439,32767,32767,32767,32767,32767,32767,32767,32767
1420431438,32767,32767,-81,32767,32767,-62,32767,32767
1420435441,32767,32767,32767,32767,32767,32767,32767,32767
1420439438,32767,32767,32767,32767,32767,32767,-63,-63
1420443438,32767,32767,32767,32767,-82,32767,32767,32767
1420447439,32767,32767,32767,32767,32767,32767,32767,32767
1420451438,32767,32767,32767,32767,-52,32767,32767,32767
1420455439,32767,32767,32767,32767,32767,-69,32767,32767
1420459438,32767,32767,32767,32767,32767,32767,-72,-72
1420463440,32767,32767,32767,32767,-62,32767,32767,32767
1420467438,32767,32767,32767,32767,32767,32767,32767,32767
1420471438,32767,32767,32767,32767,32767,32767,32767,32767
1420475438,32767,32767,32767,32767,32767,32767,32767,32767
1420479438,32767,32767,32767,32767,32767,-82,-87,-87
1420483441,32767,32767,32767,32767,32767,32767,32767,32767
1420487438,32767,32767,32767,32767,-68,32767,32767,32767
1420491439,32767,32767,32767,32767,32767,32767,32767,32767
1420495438,32767,32767,32767,32767,32767,32767,32767,32767
1420499438,32767,32767,32767,32767,-63,32767,32767,32767
1420503438,32767,32767,32767,32767,32767,-82,32767,32767
1420507438,32767,32767,32767,32767,32767,32767,32767,32767
1420511438,32767,32767,32767,32767,-69,32767,-57,-57
1420515439,32767,32767,32767,32767,32767,32767,32767,32767
1420519438,32767,32767,32767,32767,32767,32767,32767,32767
1420523442,32767,-6,32767,-6,32767,32767,32767,32767
1420527439,32767,32767,32767,32767,32767,32767,32767,32767
1420531445,32767,32767,32767,32767,32767,-75,-69,-69
1420535439,32767,32767,32767,32767,-67,32767,32767,32767
1420539440,32767,32767,32767,32767,32767,32767,32767,32767
1420543438,32767,32767,32767,32767,32767,32767,32767,32767
1420547439,32767,32767,32767,32767,-82,32767,32767,32767
1420551441,32767,32767,32767,32767,32767,32767,-77,-77
1420555438,32767,32767,32767,32767,32767,-82,32767,32767
1420560238,32767,32767,32767,32767,-90,32767,32767,32767
1420564239,32767,32767,32767,32767,32767,32767,32767,32767
1420568239,32767,32767,32767,32767,32767,32767,-54,-54
1420572239,32767,32767,32767,32767,32767,32767,32767,32767
1420576239,32767,32767,32767,32767,32767,32767,32767,32767
1420580239,32767,32767,32767,32767,-57,-66,32767,32767
1420584240,32767,32767,32767,32767,32767,32767,32767,32767
1420588241,32767,32767,32767,32767,32767,32767,32767,32767
1420592239,32767,32767,32767,32767,-65,32767,32767,32767
1420596244,32767,32767,32767,32767,32767,32767,32767,32767
1420612240,32767,32767,32767,32767,32767,32767,32767,32767
1420616239,32767,32767,32767,32767,32767,32767,32767,32767
1420620239,32767,32767,32767,32767,32767,32767,32767,32767
1420624239,32767,32767,32767,32767,32767,-68,-81,-81
1420628239,32767,-31,-49,-31,-68,32767,32767,32767
1420632251,32767,32767,32767,32767,32767,32767,32767,32767
1420636238,32767,32767,32767,32767,32767,32767,32767,32767
1420640263,32767,32767,32767,32767,-69,32767,-47,-47
1420644238,32767,32767,32767,32767,32767,32767,32767,32767
1420648238,32767,32767,32767,32767,32767,-69,32767,32767
1420652238,32767,32767,32767,32767,-62,32767,32767,32767
1420656238,32767,32767,32767,32767,32767,32767,32767,32767
1420660238,32767,32767,32767,32767,32767,32767,-54,-54
1420664238,32767,32767,32767,32767,32767,32767,32767,32767
1420668238,32767,32767,32767,32767,32767,32767,32767,32767
1420672238,32767,32767,32767,32767,32767,-69,32767,32767
1420676238,32767,32767,32767,32767,-65,32767,32767,32767
1420680238,32767,32767,32767,32767,32767,32767,32767,32767
1420684238,32767,32767,32767,32767,32767,32767,32767,32767
1420688238,32767,32767,32767,32767,-73,32767,32767,32767
1420692238,32767,32767,32767,32767,32767,32767,32767,32767
1420696238,32767,32767,32767,32767,32767,-69,-68,-68
1420700238,32767,32767,32767,32767,-70,32767,32767,32767
1420704241,32767,32767,32767,32767,32767,32767,32767,32767
1420708238,32767,32767,32767,32767,32767,32767,32767,32767
1420712238,32767,32767,32767,32767,32767,32767,32767,32767
1420716238,32767,32767,32767,32767,32767,32767,-69,-69
1420720238,32767,32767,32767,32767,32767,-69,32767,32767
1420724238,32767,32767,32767,32767,-70,32767,32767,32767
1420728238,32767,32767,32767,32767,32767,32767,32767,32767
1420732238,32767,-25,32767,-25,32767,32767,-53,-53
1420736238,32767,32767,32767,32767,-55,32767,32767,32767
1420740238,32767,32767,32767,32767,32767,32767,32767,32767
1420744238,32767,32767,32767,32767,32767,32767,32767,32767
1420748238,32767,32767,32767,32767,-61,-70,32767,32767
1420752238,32767,32767,32767,32767,32767,32767,-59,-59
1420756238,32767,32767,32767,32767,32767,32767,32767,32767
1420760238,32767,32767,32767,32767,32767,32767,32767,32767
1420764238,32767,32767,32767,32767,32767,32767,32767,32767
1420768238,32767,32767,32767,32767,32767,-60,32767,32767
1420772238,32767,32767,32767,32767,-66,32767,32767,32767
1420776238,32767,32767,32767,32767,32767,32767,32767,32767
1420780238,32767,32767,32767,32767,32767,32767,32767,32767
1420784240,32767,32767,32767,32767,-69,32767,32767,32767
1420788238,32767,32767,32767,32767,32767,-50,-69,-69
1420792238,32767,32767,32767,32767,32767,32767,32767,32767
1420796238,32767,32767,32767,32767,-67,32767,32767,32767
1420800238,32767,32767,32767,32767,32767,32767,32767,32767
1420816238,32767,32767,32767,32767,32767,32767,32767,32767
1420820238,32767,32767,32767,32767,-65,32767,32767,32767
