timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1432137228,1432137041,-0.004320049,-0.035958078,0.026337627,0.67268926,0.0,0.0,0.0,-1.0
1432238031,1432237838,0.00028732046,-0.032148354,0.02947914,0.6730455,0.0,0.0,0.0,-1.0
1432338021,1432337838,-0.0018190311,-0.042298064,0.025075383,0.6804027,0.0,0.0,0.0,-1.0
1432442027,1432441838,-0.011489017,-0.04983939,0.022735503,0.6755252,0.0,0.0,0.0,-1.0
1432542829,1432542640,-0.0006757134,-0.043534618,0.019049473,0.6763504,0.0,0.0,0.0,-1.0
1432643018,1432642640,0.0017914489,-0.038805537,0.01649534,0.67024165,0.0,0.0,0.0,-1.0
1432746821,1432746638,0.018571474,-0.03781532,0.012993647,0.6823964,0.0,0.0,0.0,-1.0
1432846820,1432846638,0.00834447,-0.04726639,0.0075080376,0.6691807,0.0,0.0,0.0,-1.0
1432946829,1432946638,0.004006571,-0.044917032,0.011345715,0.67095923,0.0,0.0,0.0,-1.0
1433051626,1433051438,0.0027469427,-0.03724495,0.008573504,0.66667646,0.0,0.0,0.0,-1.0
1433155621,1433155438,0.011019823,-0.033167303,0.0049551595,0.67218137,0.0,0.0,0.0,-1.0
1433255576,1433255438,0.003358791,-0.03490258,0.0050166734,0.6750037,0.0,0.0,0.0,-1.0
1433359633,1433359438,0.010492518,-0.048398275,0.004098464,0.67400044,0.0,0.0,0.0,-1.0
1433460382,1433460238,0.008183257,-0.04118942,0.009560769,0.676751,0.0,0.0,0.0,-1.0
1433560431,1433560238,-0.011367269,-0.018130481,0.0034250263,0.692725,0.0,0.0,0.0,-1.0
1433660425,1433660238,-0.003982581,-0.04474307,0.004521597,0.67943174,0.0,0.0,0.0,-1.0
1433764431,1433764238,0.014401241,-0.04668024,0.009692787,0.6822933,0.0,0.0,0.0,-1.0
1433865234,1433865039,-0.0014325527,-0.030763503,0.011483118,0.6856561,0.0,0.0,0.0,-1.0
1433965257,1433965058,0.008270387,-0.03728283,0.006992623,0.67884976,0.0,0.0,0.0,-1.0
1434069180,1434069038,0.014535228,-0.02782659,0.0055832667,0.6822641,0.0,0.0,0.0,-1.0
1434169230,1434169038,0.011929152,-0.041984823,0.004091357,0.67847085,0.0,0.0,0.0,-1.0
1434269182,1434269038,0.0028592816,-0.033157635,0.007022851,0.67968345,0.0,0.0,0.0,-1.0
1434374022,1434373839,0.0035210955,-0.054009657,0.010384638,0.6765415,0.0,0.0,0.0,-1.0
1434474039,1434473840,0.007621847,-0.033917442,0.0078747105,0.680896,0.0,0.0,0.0,-1.0
1434574037,1434573838,0.004160412,-0.04349678,0.006775844,0.67925364,0.0,0.0,0.0,-1.0
1434678831,1434678639,0.0034535285,-0.037907586,0.0042392258,0.68102926,0.0,0.0,0.0,-1.0
1434778820,1434778638,0.0053293165,-0.03734527,0.007166542,0.681305,0.0,0.0,0.0,-1.0
1434878823,1434878638,0.0033106697,-0.038836375,0.00553998,0.6745848,0.0,0.0,0.0,-1.0
1434982798,1434982638,0.027784817,-0.017066248,0.010634575,0.687424,0.0,0.0,0.0,-1.0
1435082776,1435082638,0.008205221,-0.034777038,0.012663386,0.6752327,0.0,0.0,0.0,-1.0
1435183630,1435183438,0.00388004,-0.034524526,0.01843781,0.68113506,0.0,0.0,0.0,-1.0
1435287621,1435287438,-0.025096871,-0.043014355,0.016520267,0.67486787,0.0,0.0,0.0,-1.0
1435387632,1435387439,-0.006446711,-0.02599494,0.022922413,0.6806587,0.0,0.0,0.0,-1.0
1435487628,1435487439,0.0014437023,-0.030526567,0.027166659,0.6771024,0.0,0.0,0.0,-1.0
1435592442,1435592240,0.0026802602,-0.032120913,0.02729671,0.6737309,0.0,0.0,0.0,-1.0
1435692387,1435692238,0.007121842,-0.037612885,0.032366,0.6756064,0.0,0.0,0.0,-1.0
1435792425,1435792238,-0.00043226493,-0.04070904,0.035074815,0.67652524,0.0,0.0,0.0,-1.0
1435896424,1435896239,0.0044364557,-0.034895774,0.033254724,0.6752956,0.0,0.0,0.0,-1.0
1435997187,1435997038,0.005018664,-0.041623253,0.034291223,0.6738456,0.0,0.0,0.0,-1.0
1436097190,1436097038,0.002558568,-0.053170376,0.03875351,0.67289966,0.0,0.0,0.0,-1.0
1436201230,1436201040,0.002600293,-0.04118101,0.04162837,0.6775997,0.0,0.0,0.0,-1.0
1436301231,1436301038,0.0015252029,-0.040116623,0.04001191,0.67577994,0.0,0.0,0.0,-1.0
1436402021,1436401838,0.007318878,-0.039283548,0.04007689,0.67528737,0.0,0.0,0.0,-1.0
1436505991,1436505838,0.0096454015,-0.028232945,0.0407456,0.67692643,0.0,0.0,0.0,-1.0
1436606021,1436605838,0.0033468986,-0.035015333,0.038529526,0.6785003,0.0,0.0,0.0,-1.0
1436706021,1436705838,0.006046817,-0.047004703,0.040464766,0.67415655,0.0,0.0,0.0,-1.0
1436806827,1436806638,0.007644071,-0.042403612,0.042365685,0.6766232,0.0,0.0,0.0,-1.0
1436910819,1436910637,0.010629271,-0.01558891,0.043615155,0.6797711,0.0,0.0,0.0,-1.0
1437010827,1437010638,0.0105122095,-0.029415356,0.041245528,0.6783183,0.0,0.0,0.0,-1.0
1437114821,1437114638,0.0070466744,-0.037266202,0.0404681,0.6778387,0.0,0.0,0.0,-1.0
1437215643,1437215438,0.006989741,-0.05966342,0.043511957,0.681064,0.0,0.0,0.0,-1.0
1437315578,1437315439,0.014979273,-0.03878749,0.04404258,0.67940325,0.0,0.0,0.0,-1.0
1437419584,1437419438,0.00927651,-0.02141769,0.04751312,0.6816802,0.0,0.0,0.0,-1.0
1437519578,1437519438,0.005806772,-0.032378912,0.050219215,0.67877805,0.0,0.0,0.0,-1.0
1437619621,1437619438,0.0077348035,-0.025773617,0.0524398,0.6817644,0.0,0.0,0.0,-1.0
1437720430,1437720238,0.010717321,-0.03852534,0.05489269,0.6798908,0.0,0.0,0.0,-1.0
1437824387,1437824241,0.0071945,-0.042929593,0.05868972,0.68067116,0.0,0.0,0.0,-1.0
1437924383,1437924238,0.0068452773,-0.029559828,0.058887407,0.68304586,0.0,0.0,0.0,-1.0
1438028422,1438028238,0.012932135,-0.02412979,0.061026283,0.6816694,0.0,0.0,0.0,-1.0
1438129210,1438129038,0.010386959,-0.04177006,0.06493062,0.681419,0.0,0.0,0.0,-1.0
1438229224,1438229038,0.013394878,-0.041113876,0.06097562,0.6817921,0.0,0.0,0.0,-1.0
1438329248,1438329041,0.0083446,-0.02267251,0.062400147,0.68022275,0.0,0.0,0.0,-1.0
1438433265,1438433072,0.0056420653,-0.037020903,0.0606557,0.67888594,0.0,0.0,0.0,-1.0
1438533976,1438533838,0.005661727,-0.03925126,0.062358577,0.6771855,0.0,0.0,0.0,-1.0
1438634049,1438633847,-0.006389049,-0.033931825,0.052477024,0.676428,0.0,0.0,0.0,-1.0
1438738021,1438737838,0.007976009,-0.046341807,0.05322336,0.6815879,0.0,0.0,0.0,-1.0
1438838029,1438837838,0.0073762056,-0.044365697,0.050152473,0.67928207,0.0,0.0,0.0,-1.0
1438938784,1438938644,0.022246655,-0.044849504,0.046749603,0.6803822,0.0,0.0,0.0,-1.0
1439042829,1439042641,0.011219707,-0.02776823,0.041925512,0.6819144,0.0,0.0,0.0,-1.0
