timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
1415887735,4,1691.0481,1726.0876,1627.2375,1657.4259,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1415987735,4,1687.537,1726.3337,1618.2577,1656.5264,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1416087727,4,1694.2991,1723.9307,1627.4963,1657.5842,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1416192186,4,1692.5015,1718.1644,1632.7842,1657.552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1416292465,4,1681.3713,1727.7827,1617.3445,1663.9781,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1416393432,4,1692.5782,1715.7408,1622.2516,1662.5695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1416496546,4,1702.2211,1718.605,1635.9056,1652.1211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1416596453,4,1692.2517,1726.8495,1622.2349,1659.1732,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1416696450,4,1699.0381,1719.124,1631.718,1652.4609,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1416797334,4,1691.1614,1724.331,1619.0514,1655.5896,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1416901297,4,1690.0498,1728.0416,1620.8303,1657.681,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1417001335,4,1700.1732,1721.5426,1631.6272,1655.6553,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1417102150,4,1688.6316,1731.4308,1623.2432,1657.1147,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1417206669,4,1687.0326,1727.854,1617.1848,1663.8792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1417306137,4,1691.9851,1721.4119,1627.614,1658.5679,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1417410157,4,1701.9994,1720.2123,1635.1302,1647.7139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1417510047,4,1694.7328,1726.9072,1623.8724,1657.9924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1417611017,4,1695.7068,1723.0383,1629.6451,1654.5958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1417711700,4,1691.6594,1733.5565,1635.4375,1649.874,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1417814932,4,1699.5105,1729.9707,1629.2627,1661.8557,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1417914926,4,1712.5048,1717.4982,1631.6224,1663.4751,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1418015733,4,1698.0818,1722.3391,1624.4048,1659.0813,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1418119924,4,1685.8011,1731.9076,1621.3857,1662.684,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1418220647,4,1681.9196,1725.7059,1624.1061,1663.9446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1418323739,4,1694.2734,1720.2295,1637.2463,1652.0619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1418427656,4,1685.2701,1722.0083,1633.0607,1651.2002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1418529345,4,1682.0518,1727.2719,1624.9333,1656.0348,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1418628537,4,1695.7797,1717.9531,1637.5427,1649.9862,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1418732451,4,1687.4454,1729.3966,1627.2968,1658.4159,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
