timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time
1417784330,1550508357019625,-1550506939247175,-1550506939240480,23754
1417874494,1550508357111974,-1550506939242559,-1550506939240480,10138
1417985432,1550508357222176,-1550506939247034,-1550506939240480,20572
1418097773,1550508357333377,-1550506939251611,-1550506939240480,31053
1418187336,1550508357423842,-1550506939247538,-1550506939240480,22051
1418312653,1550508357550253,-1550506939261037,-1550506939240480,46867
1418405100,1550508357641824,-1550506939256417,-1550506939240480,39372
1418495283,1550508357725973,-1550506939245199,-1550506939240480,29005
1418590540,1550508357825054,-1550506939246204,-1550506939240480,23372
1418682573,1550508357918025,-1550506939241521,-1550506939240480,11348
1418790184,1550508358026979,-1550506939248670,-1550506939240480,23742
1418881641,1550508358118584,-1550506939242516,-1550506939240480,11138
1418994189,1550508358228825,-1550506939246265,-1550506939240480,23253
1419104297,1550508358340468,-1550506939252135,-1550506939240480,31920
1419214668,1550508358452453,-1550506939257533,-1550506939240480,39340
1419287784,1550508358523146,-1550506939241557,-1550506939240480,11272
1419411605,1550508358649045,-1550506939255095,-1550506939240480,35296
1419505291,1550508358741472,-1550506939250585,-1550506939240480,28795
1419597346,1550508358832569,-1550506939243962,-1550506939240480,17470
1419687748,1550508358924961,-1550506939240819,-1550506939240474,7165
1419910286,1550508359144838,-1550506939247285,-1550506939240474,25452
1420002419,1550508359236752,-1550506939242851,-1550506939240474,17022
1420111650,1550508359346985,-1550506939248020,-1550506939240474,25362
1420203283,1550508359439269,-1550506939244600,-1550506939240474,17221
1420327022,1550508359564328,-1550506939256710,-1550506939240474,37927
1420421646,1550508359659073,-1550506939253099,-1550506939240474,31330
1420510347,1550508359747561,-1550506939247926,-1550506939240474,21419
1420713547,1550508359951186,-1550506939249026,-1550506939240474,22767
1420919724,1550508360155856,-1550506939250691,-1550506939240474,28243
1421027280,1550508360263022,-1550506939252124,-1550506939240474,32751
1421118415,1550508360355942,-1550506939249370,-1550506939240474,23679
1421303321,1550508360538978,-1550506939239537,-1550506939240465,7719
1421430353,1550508360665090,-1550506939251926,-1550506939240465,34364
1421519837,1550508360756880,-1550506939248087,-1550506939240465,22082
1421613284,1550508360849241,-1550506939244265,-1550506939240465,16609
1421721293,1550508360958139,-1550506939247890,-1550506939240465,22080
1421813499,1550508361049065,-1550506939242255,-1550506939240465,13371
1421921886,1550508361159989,-1550506939248835,-1550506939240465,20515
