timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
1418825387,1550508358000020,561754930,102992553,14677451,14720031,121.060005,3.1415925,4294967.5,3751120.2,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1419024393,1550508358200020,561754136,103014414,14677427,14720004,121.077,3.1415925,4294967.5,3751120.8,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1419224364,1550508358400020,561753341,103036275,14677403,14719976,121.09501,3.1415925,4294967.5,3751121.5,99.99,99.99,100,74,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1419427513,1550508358600059,561754058,119194859,14680018,14720001,121.75101,3.1415925,4294967.5,3751125.8,99.99,99.99,100,74,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1419625314,1550508358800059,561714474,123840718,14679388,14718630,121.97201,3.1415925,4294967.5,3751127.2,99.99,99.99,100,74,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1419825527,1550508359000128,561459260,139308229,14672993,14709791,122.73401,3.1415925,4294967.5,3751131.2,99.99,99.99,100,74,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1420025324,1550508359200240,560513906,167092248,14644505,14677019,124.326004,3.1415925,4294967.5,3751139.0,99.99,99.99,100,74,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1420223322,1550508359400240,560191983,173764363,14634337,14665849,124.76301,3.1415925,4294967.5,3751141.2,99.99,99.99,100,75,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1420423367,1550508359600240,560189576,173785807,14634257,14665765,124.78001,3.1415925,4294967.5,3751141.8,99.99,99.99,100,75,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1420623322,1550508359800240,560187168,173807251,14634176,14665682,124.798004,3.1415925,4294967.5,3751142.0,99.99,99.99,100,75,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1420823300,1550508360000298,559873573,179670350,14624161,14654796,125.19601,3.1415925,4294967.5,3751144.2,99.99,99.99,100,75,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1421023299,1550508360200298,560156005,174365697,14633177,14664600,124.866005,3.1415925,4294967.5,3751143.2,99.99,99.99,100,75,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1421223325,1550508360400298,559569302,184883966,14614359,14644229,125.578,3.1415925,4294967.5,3751147.0,99.99,99.99,100,93,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1421423327,1550508360600298,559566644,184905290,14614270,14644137,125.59601,3.1415925,4294967.5,3751147.5,99.99,99.99,100,93,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1421625317,1550508360800298,559563984,184926615,14614180,14644045,125.61301,3.1415925,4294967.5,3751148.0,99.99,99.99,100,93,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1421824422,1550508361000374,558926017,194847111,14593443,14621875,126.31901,3.1415925,4294967.5,3751151.2,99.99,99.99,100,93,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1422024362,1550508361200324,559558663,184969270,14614001,14643860,125.64901,3.1415925,4294967.5,3751149.5,99.99,99.99,100,93,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1422423320,1550508361600374,558917365,194910736,14593150,14621574,126.37201,3.1415925,4294967.5,3751152.8,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1422625368,1550508361800374,558914480,194931941,14593053,14621474,126.38901,3.1415925,4294967.5,3751153.2,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1422823605,1550508362000424,558235713,204298534,14570403,14597865,127.08401,3.1415925,4294967.5,3751156.8,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1423023324,1550508362200424,558232617,204319623,14570296,14597758,127.102005,3.1415925,4294967.5,3751157.2,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1423424316,1550508362600424,558226424,204361788,14570083,14597542,127.13701,3.1415925,4294967.5,3751158.5,99.99,99.99,100,93,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1423825318,1550508363000424,558501301,200645274,14579437,14607106,126.896,3.1415925,4294967.5,3751158.5,99.99,99.99,100,93,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1424025316,1550508363200424,558051128,206572942,14564105,14591441,127.34901,3.1415925,4294967.5,3751160.8,99.99,99.99,100,93,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1424225294,1550508363400424,558047980,206593993,14563996,14591332,127.366005,3.1415925,4294967.5,3751161.2,99.99,99.99,100,94,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1424425326,1550508363600424,558044832,206615044,14563888,14591222,127.384,3.1415925,4294967.5,3751162.0,99.99,99.99,100,94,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1424625325,1550508363800491,557258322,216156353,14537031,14563831,128.123,3.1415925,4294967.5,3751165.0,99.99,99.99,100,94,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1424824567,1550508364000491,557254960,216177275,14536915,14563714,128.141,3.1415925,4294967.5,3751165.5,99.99,99.99,100,94,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1425025385,1550508364200457,557753776,210207303,14553955,14581089,127.701004,3.1415925,4294967.5,3751164.2,99.99,99.99,100,94,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1425225403,1550508364400302,559817505,180140689,14622278,14652849,125.58201,3.1415925,4294967.5,3751157.0,99.99,99.99,100,90,0.0,0.0,0.0,0.0,0.0,0,0,0,0
