timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1458304870,-0.013014255,-0.0038387636,0.013570739,-0.99995166,0.009533454,-0.00057335576,-0.0023237905,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458336639,-0.017785536,0.00031248806,0.05010725,-0.9999506,0.009554989,-0.0006283859,-0.0026877818,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458368645,-0.009109455,0.055201445,0.010228636,-0.99994946,0.009570376,-0.0006071882,-0.00301133,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458400826,-0.0025416352,0.029652653,0.0044421344,-0.9999456,0.0098697515,-0.0007593874,-0.0033131433,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458432819,-0.06282459,-0.11300018,0.024466813,-0.9999396,0.010374806,-0.00055770465,-0.0036036994,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458465608,0.022786342,0.029909387,0.04878134,-0.9999382,0.010398873,-0.00056602486,-0.0039099925,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458493677,-0.01248751,0.010860724,0.010251678,-0.9999365,0.01050181,-0.0005039683,-0.0040628295,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458525580,-0.0764904,-0.15822372,0.048983216,-0.9999274,0.011216154,-9.7898184e-05,-0.0044026305,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458557532,-0.019915499,0.12915605,0.039515484,-0.99992085,0.01166669,-0.00025400965,-0.0047180983,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458589657,0.017136864,-0.04131764,0.0059718,-0.9999198,0.011648808,-0.00020058658,-0.004977067,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458621430,0.03465793,0.03905204,0.0158244,-0.99991906,0.011585956,-0.00065970566,-0.0052205673,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458653675,-0.017789537,-0.04217638,0.00966054,-0.99991786,0.011547448,-0.0010425862,-0.005480686,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458685656,0.023305625,0.037305184,0.011889152,-0.9999192,0.011293053,-0.001436389,-0.0056694807,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458717739,-0.017226366,-0.07954728,0.014894486,-0.9999191,0.011263225,-0.0013708303,-0.005742945,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458749421,0.028073441,0.16165788,-0.027843457,-0.99992156,0.011030288,-0.0017422602,-0.0056773885,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458781619,0.025196003,-0.039323978,-0.03387598,-0.9999231,0.010934665,-0.0016781881,-0.005621276,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458813568,-0.0112917945,-0.07700884,-0.018940778,-0.9999255,0.010762753,-0.0013699826,-0.005612481,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458845458,0.046459313,0.10391311,0.0007288393,-0.9999308,0.010247334,-0.0017217228,-0.0055279755,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458878439,-0.0032070454,0.004942828,-0.017688427,-0.9999369,0.009724377,-0.0018973827,-0.005310006,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458906395,-0.029938603,0.0060200104,-0.01812188,-0.99993587,0.00983001,-0.002333047,-0.0051382827,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
